@RELATION 'pheno0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class string
@DATA
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000778@GO0004672@GO0007094@GO0032837@GO0033597@GO0044774@GO0051301@GO0051754
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005794@GO0006623@GO0006896@GO0008565@GO0030123@GO0030659
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0006400@GO0008251@GO0008270@GO0052717@GO0052718
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000467@GO0005524@GO0005634@GO0005730@GO0008143@GO0016075@GO0016491@GO0016973@GO0031499@GO0034459@GO0034475@GO0034476@GO0043629@GO0071031@GO0071035@GO0071038@GO0071042@GO0071049@GO0071051
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0004709@GO0004713@GO0005524@GO0005737@GO0006468@GO0007346@GO0007584@GO0010447@GO0030010@GO0030242@GO0030968@GO0031098@GO0035556@GO0042981@GO0060237
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0003735@GO0005762@GO0032543
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0004357@GO0005524@GO0005622@GO0005737@GO0006750@GO0042542@GO0046686
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000002@GO0003924@GO0005525@GO0005739@GO0032543@GO0032790@GO0051881
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005886@GO0005887@GO0015079@GO0030007@GO0045121
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000329@GO0005768@GO0005770@GO0005829@GO0006886@GO0030904@GO0030906@GO0042147@GO0045053@GO0060548@GO1900102@GO1904377
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0004252@GO0016485@GO0019897@GO0043200
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000436@GO0003677@GO0005634@GO0005829@GO0005987@GO0006351@GO0016514@GO0031496@GO0042393@GO0043044@GO0044109@GO0045944
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005737@GO0006457@GO0007010@GO0016272@GO0032968@GO0051082
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005739@GO0019904@GO0033615
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005793@GO0015786@GO0016021
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000023@GO0004574@GO0046352
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000023@GO0004574@GO0046352
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0003723@GO0003746@GO0006452@GO0022626@GO0043022@GO0045901@GO0045905
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000463@GO0000492@GO0046872
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000139@GO0000329@GO0001300@GO0001558@GO0004672@GO0004674@GO0005524@GO0005634@GO0005737@GO0005886@GO0006281@GO0006413@GO0006974@GO0010008@GO0010507@GO0018105@GO0031234@GO0031505@GO0031929@GO0031930@GO0031931@GO0034599@GO0034605@GO0042254@GO0042790@GO0044387@GO0044877@GO0051321@GO0051726@GO0090153@GO1905356
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005847@GO0006378@GO0030674@GO0098789
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0003962@GO0005634@GO0005737@GO0006790@GO0009086@GO0019346@GO0030170
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000097@GO0000103@GO0004783@GO0009086@GO0009337@GO0010181@GO0010494@GO0016002@GO0019344@GO0019419@GO0020037@GO0046872@GO0050311@GO0051539@GO0070814
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005096@GO0010508@GO0015031@GO0032007@GO0034198@GO0035556@GO0035859@GO0043547@GO0051058@GO0097042@GO1990130@GO2000785
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005576@GO0005886@GO0006950@GO0009277@GO0031225
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0009228@GO0009229
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000972@GO0000978@GO0001077@GO0005634@GO0006560@GO0008270@GO0045944@GO2001158
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000027@GO0000463@GO0000466@GO0005730@GO0016020@GO0031965@GO0042273
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0004602@GO0005782@GO0007031@GO0031315@GO0034599@GO0047066@GO0051920
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000122@GO0000978@GO0001077@GO0001078@GO0001191@GO0003677@GO0005634@GO0005737@GO0006006@GO0008270@GO0045944@GO0046324@GO0061414
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0003677@GO0003887@GO0003896@GO0005634@GO0005635@GO0005658@GO0006260@GO0006269@GO0006270@GO0006273@GO0006302@GO0046872@GO0051539
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0048037
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0070822
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000774@GO0005524@GO0005788@GO0006986@GO0016887@GO0031204@GO0051082
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000243@GO0000348@GO0045131
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000462@GO0003723@GO0003724@GO0004004@GO0005524@GO0005654@GO0005730@GO0005737@GO0031167@GO0042254@GO0042802
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0002098@GO0003682@GO0005524@GO0005634@GO0005737@GO0006351@GO0006357
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005737@GO0005774@GO0006865@GO0015031@GO0043547@GO1904263@GO1990877
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000278@GO0004672@GO0004674@GO0005524@GO0005634@GO0005737@GO0006468@GO0015846@GO0035556
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000329@GO0001558@GO0004430@GO0004674@GO0005524@GO0005634@GO0005886@GO0006281@GO0006468@GO0007010@GO0007165@GO0010507@GO0030037@GO0030950@GO0031234@GO0031929@GO0031931@GO0031932@GO0035025@GO0042254@GO0044877@GO0045807@GO0051726@GO1905356@GO2001108
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005886@GO0006849@GO0015136@GO0015355@GO0016021@GO0035879@GO0097079@GO0097080
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0006520@GO0030170@GO0030848@GO0042219
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005215@GO0006810@GO0015293@GO0016020@GO0034220@GO0071627
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0003857@GO0004300@GO0005777@GO0006635@GO0016853
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000282@GO0006893@GO0015031@GO0016020@GO0034044@GO0034221
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000448@GO0000460@GO0000470@GO0004519@GO0005634@GO0005730@GO0005737@GO0005739@GO0006325@GO0030687
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0003746@GO0003924@GO0005525@GO0005737@GO0032790@GO0045727@GO0070651@GO0070966@GO1990533
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000350@GO0000378@GO0003723@GO0004004@GO0005524@GO0005737@GO0008186@GO0071007
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000128@GO0000501@GO0001403@GO0005537@GO0005576@GO0009277@GO0031225@GO0044182
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000001@GO0000266@GO0001300@GO0003374@GO0003924@GO0005525@GO0005737@GO0005739@GO0005741@GO0005777@GO0005829@GO0007005@GO0007031@GO0008017@GO0016050@GO0016236@GO0016559@GO0042802@GO0042803@GO0051260@GO0061024@GO0061025
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000462@GO0005654@GO0005730@GO0031167@GO0032040@GO0080008
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0004771@GO0005811@GO0016021@GO0016042@GO0016125
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000329@GO0005524@GO0015086@GO0015127@GO0015691@GO0015723@GO0016021@GO0042144@GO0042626
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005088@GO0005622@GO0007049@GO0007265@GO0016020@GO0051301
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005789@GO0005886@GO0005887@GO0006833@GO0015250@GO0034220@GO0055085
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000156@GO0000185@GO0005737@GO0007234@GO0030295@GO0031435@GO0031954@GO0042803@GO2000251
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0003697@GO0005524@GO0005634@GO0006298@GO0007131@GO0016887@GO0030983@GO0032389@GO0032390@GO0003723@GO0005737
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005999@GO0008270@GO0019569@GO0042732@GO0046526
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000278@GO0004674@GO0005524@GO0005634@GO0005737@GO0005886@GO0006468@GO0006887@GO0035556@GO0046777
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005680@GO0005737@GO0007049@GO0016567@GO0031497@GO0051301
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000727@GO0003682@GO0003688@GO0003697@GO0005634@GO0005656@GO0006267@GO0006270@GO0031261@GO0031298@GO0031938@GO0043138@GO0043596@GO0071162@GO1900087@GO1902977
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0003723@GO0005847@GO0005849@GO0006378@GO0098789
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000243@GO0000398@GO0005634@GO0005829@GO0008270@GO0045131
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000932@GO0000956@GO0003729@GO0003730@GO0005634@GO0005737@GO0005829@GO0006879@GO0046872@GO0061158
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005886@GO0006970@GO0015079@GO0015385@GO0015491@GO0016021@GO0030004@GO0030007@GO0036376@GO0045121@GO0097623
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000182@GO0000500@GO0005730@GO0006325@GO0006356@GO0042790
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000306@GO0000329@GO0005829@GO0006886@GO0006895@GO0006904@GO0007032@GO0007040@GO0030674@GO0030897@GO0032889@GO0033263@GO0035542@GO0042144@GO0045324@GO0046872@GO0099022
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000287@GO0005777@GO0006281@GO0008413@GO0009132@GO0015936@GO0016462@GO0030145
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000070@GO0000307@GO0005634@GO0006351@GO0006353@GO0016538@GO0033184@GO0045737@GO0045944@GO0051571@GO0070816@GO1901409
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000978@GO0001077@GO0005634@GO0008270@GO0016020@GO0035961@GO0035969@GO0048471@GO1904741
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005739@GO0009249@GO0016874@GO0033819@GO0102555
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0004126@GO0005634@GO0005737@GO0005829@GO0006216@GO0006217@GO0008270@GO0008655@GO0042802
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000727@GO0000784@GO0003682@GO0003688@GO0004386@GO0005524@GO0005634@GO0005654@GO0005656@GO0005737@GO0006267@GO0006270@GO0006343@GO0006348@GO0030174@GO0031261@GO0031298@GO0031939@GO0032508@GO0033260@GO0042555@GO0071162
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0006400@GO0008251@GO0052717@GO0052718
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000131@GO0000133@GO0003779@GO0005519@GO0005816@GO0005934@GO0005935@GO0007118@GO0007121@GO0007124@GO0008047@GO0030010@GO0030953@GO0032880@GO0034652@GO0043332@GO0051017@GO0051125@GO0090338@GO2000251
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000086@GO0006302@GO0006337@GO0006357@GO0006368@GO0007059@GO0016586@GO0031055@GO0033262@GO0043044
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000794@GO0005634@GO0007131@GO0042138
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0009277@GO0030476@GO0031362@GO0042124@GO0071970
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000149@GO0005768@GO0005794@GO0010008@GO0015031@GO0034272@GO0035493@GO0045324@GO0060627
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005829@GO0005986@GO0006000@GO0006002@GO0006094@GO0030388@GO0042132@GO0042597@GO0046872@GO0072593
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005743@GO0032592@GO0033615@GO0051082
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000228@GO0000794@GO0000795@GO0003682@GO0006281@GO0007129@GO0007130@GO0007131@GO0016925@GO0019789
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000790@GO0000812@GO0001047@GO0001094@GO0003682@GO0006281@GO0006338@GO0009301@GO0030435@GO0031452@GO0031938@GO0070577@GO0090054@GO1900051
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005375@GO0005887@GO0015677@GO0030659
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000045@GO0000149@GO0000407@GO0000422@GO0005737@GO0030242@GO0030295@GO0032147@GO0032947@GO0034045@GO0034497@GO0034727@GO0044805@GO0045772@GO0120095@GO1990316@GO2000786
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005639@GO0005816@GO0005823@GO0008289@GO0030474@GO0071790
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000932
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0003684@GO0005634@GO0005739@GO0006281@GO0006285@GO0006289@GO0007004@GO0008534@GO0031518@GO0034039@GO0070987@GO0140078
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000407@GO0005783@GO0006888@GO0006914@GO1990070@GO1990071@GO1990072
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0004128@GO0005783@GO0016021@GO0022900
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005634@GO0005737@GO0006974@GO0016567@GO0019005@GO0030674@GO0031146@GO0071406
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005643@GO0006606@GO0006999@GO0017056@GO0031965@GO0031990@GO0044611
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000712@GO0000922@GO0004672@GO0004674@GO0005524@GO0005634@GO0005935@GO0006468@GO0008047@GO0008104@GO0010458@GO0010696@GO0019237@GO0044877@GO0051219@GO0051301@GO0070194@GO0090306@GO1902542@GO1903353
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0005634@GO0005737@GO0005768@GO0005829@GO0006623@GO0006897@GO0016050@GO0019898@GO0032266@GO0042147@GO0097320
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000978@GO0000987@GO0001077@GO0001202@GO0005507@GO0005634@GO0006878@GO0006879@GO0045732@GO0045944@GO0071468
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0003924@GO0005525@GO0005743@GO0005759@GO0006400@GO0016740@GO0070899
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000079@GO0000086@GO0004725@GO0005622@GO0051301@GO1902751
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,1,5,5,5,1,GO0000981@GO0000982@GO0000987@GO0001302@GO0001324@GO0005634@GO0005829@GO0006338@GO0006351@GO0036278@GO0045944@GO0046872@GO0061395@GO0061401@GO0061402@GO0061403@GO0061404@GO0061405@GO0061406@GO0061407@GO0061408@GO0061409@GO0061410@GO0061411@GO0061412@GO0061422@GO0061434@GO0071406@GO0071483@GO0097236
